 -- Frame 307 Framerate: 20.3 [Okay Framerate]
 -- Frame 308 Framerate: 42.2 [Very Good Framerate]
 -- Frame 309 Framerate: 26.8 [Good Framerate]
 -- Frame 310 Framerate: 35.0 [Good Framerate]
 -- Frame 311 Framerate: 23.0 [Okay Framerate]
 -- Frame 312 Framerate: 23.6 [Okay Framerate]
 -- Frame 313 Framerate: 23.3 [Okay Framerate]
 -- Frame 314 Framerate: 23.1 [Okay Framerate]
 -- Frame 315 Framerate: 22.0 [Okay Framerate]
 -- Frame 316 Framerate: 27.1 [Good Framerate]
 -- Frame 317 Framerate: 23.1 [Okay Framerate]
 -- Frame 318 Framerate: 29.0 [Good Framerate]
 -- Frame 319 Framerate: 24.9 [Okay Framerate]
 -- Frame 320 Framerate: 29.5 [Good Framerate]
 -- Frame 321 Framerate: 40.4 [Very Good Framerate]
 -- Frame 322 Framerate: 24.4 [Okay Framerate]
 -- Frame 323 Framerate: 26.6 [Good Framerate]
 -- Frame 324 Framerate: 22.6 [Okay Framerate]
 -- Frame 325 Framerate: 28.1 [Good Framerate]
 -- Frame 326 Framerate: 24.3 [Okay Framerate]
 -- Frame 327 Framerate: 24.0 [Okay Framerate]
 -- Frame 328 Framerate: 24.8 [Okay Framerate]
 -- Frame 329 Framerate: 22.8 [Okay Framerate]
 -- Frame 330 Framerate: 27.0 [Good Framerate]
 -- Frame 331 Framerate: 24.3 [Okay Framerate]
 -- Frame 332 Framerate: 23.8 [Okay Framerate]
 -- Frame 333 Framerate: 24.8 [Okay Framerate]
 -- Frame 334 Framerate: 22.2 [Okay Framerate]
 -- Frame 335 Framerate: 25.3 [Good Framerate]
 -- Frame 336 Framerate: 22.7 [Okay Framerate]
 -- Frame 337 Framerate: 22.3 [Okay Framerate]
 -- Frame 338 Framerate: 20.8 [Okay Framerate]
 -- Frame 339 Framerate: 39.3 [Good Framerate]
 -- Frame 340 Framerate: 22.7 [Okay Framerate]
 -- Frame 341 Framerate: 24.8 [Okay Framerate]
 -- Frame 342 Framerate: 28.6 [Good Framerate]
 -- Frame 343 Framerate: 37.4 [Good Framerate]
 -- Frame 344 Framerate: 25.8 [Good Framerate]
