 -- Frame 306 Framerate: 19.5 [Low Framerate]
 -- Frame 307 Framerate: 19.5 [Low Framerate]
 -- Frame 308 Framerate: 19.7 [Low Framerate]
 -- Frame 309 Framerate: 19.8 [Low Framerate]
 -- Frame 310 Framerate: 19.3 [Low Framerate]
 -- Frame 311 Framerate: 19.4 [Low Framerate]
 -- Frame 312 Framerate: 17.9 [Low Framerate]
 -- Frame 313 Framerate: 19.7 [Low Framerate]
 -- Frame 314 Framerate: 22.6 [Okay Framerate]
 -- Frame 315 Framerate: 22.3 [Okay Framerate]
 -- Frame 316 Framerate: 17.7 [Low Framerate]
 -- Frame 317 Framerate: 19.1 [Low Framerate]
 -- Frame 318 Framerate: 21.3 [Okay Framerate]
 -- Frame 319 Framerate: 19.4 [Low Framerate]
 -- Frame 320 Framerate: 18.9 [Low Framerate]
 -- Frame 321 Framerate: 16.6 [Low Framerate]
 -- Frame 322 Framerate: 18.6 [Low Framerate]
 -- Frame 323 Framerate: 19.8 [Low Framerate]
 -- Frame 324 Framerate: 16.0 [Low Framerate]
 -- Frame 325 Framerate: 19.5 [Low Framerate]
 -- Frame 326 Framerate: 20.1 [Okay Framerate]
 -- Frame 327 Framerate: 18.1 [Low Framerate]
 -- Frame 328 Framerate: 20.3 [Okay Framerate]
 -- Frame 329 Framerate: 18.6 [Low Framerate]
 -- Frame 330 Framerate: 20.7 [Okay Framerate]
 -- Frame 331 Framerate: 20.7 [Okay Framerate]
 -- Frame 332 Framerate: 18.2 [Low Framerate]
 -- Frame 333 Framerate: 19.5 [Low Framerate]
 -- Frame 334 Framerate: 18.2 [Low Framerate]
 -- Frame 335 Framerate: 18.4 [Low Framerate]
 -- Frame 336 Framerate: 19.1 [Low Framerate]
 -- Frame 337 Framerate: 19.1 [Low Framerate]
 -- Frame 338 Framerate: 20.2 [Okay Framerate]
 -- Frame 339 Framerate: 19.3 [Low Framerate]
 -- Frame 340 Framerate: 17.7 [Low Framerate]
 -- Frame 341 Framerate: 17.6 [Low Framerate]
 -- Frame 342 Framerate: 17.6 [Low Framerate]
 -- Frame 343 Framerate: 18.0 [Low Framerate]
 -- Frame 344 Framerate: 19.2 [Low Framerate]
 -- Frame 345 Framerate: 18.4 [Low Framerate]
 -- Frame 346 Framerate: 18.3 [Low Framerate]
 -- Frame 347 Framerate: 16.7 [Low Framerate]
 -- Frame 348 Framerate: 18.3 [Low Framerate]
 -- Frame 349 Framerate: 17.9 [Low Framerate]
 -- Frame 350 Framerate: 20.3 [Okay Framerate]
 -- Frame 351 Framerate: 21.0 [Okay Framerate]
 -- Frame 352 Framerate: 17.0 [Low Framerate]
 -- Frame 353 Framerate: 18.4 [Low Framerate]
 -- Frame 354 Framerate: 19.2 [Low Framerate]
 -- Frame 355 Framerate: 20.1 [Okay Framerate]
 -- Frame 356 Framerate: 16.6 [Low Framerate]
 -- Frame 357 Framerate: 17.5 [Low Framerate]
 -- Frame 358 Framerate: 18.0 [Low Framerate]
 -- Frame 359 Framerate: 17.8 [Low Framerate]
 -- Frame 360 Framerate: 19.6 [Low Framerate]
